id,severity,surface,classification,finding,impact,evidence,required_fix,acceptance
SEQ-PLAY-001,P1,Sequence / Playback,Confirmed code defect; runtime impact high-confidence,"The program clock advances from requestAnimationFrame wall-clock time even while the current video is waiting, stalled, seeking, or not ready.","The playhead and auxiliary audio can move ahead while picture is frozen, followed by a hard seek or skipped visual material. Editorial timing cannot be trusted.",client/src/components/SequenceEditorWorkspace.tsx — beginPlayback/requestAnimationFrame and media synchronization logic,Make media readiness authoritative. Pause the transport clock on waiting/stalled/seeking; resume only after canplay/seeked. Use a shared master clock and explicit buffering state.,"Under throttled decode/network conditions, the program playhead does not advance during a stall; picture and audio return within one frame at 24 fps."
SEQ-PLAY-002,P1,Sequence / Playback,Confirmed architecture; runtime impact high-confidence,"Every cut remounts a single <video> element keyed by clip ID, with no next-clip preload, double buffer, preroll, or readiness gate.","Cuts can flash black, show the prior frame, or stall on real 4K/AI-generated media and slow disks.",client/src/components/SequenceEditorWorkspace.tsx — program monitor JSX and currentProgramClip key/src handling,"Use two alternating video elements or a media buffer, preload the next source, seek it before the seam, and swap only after readiness is acknowledged.","A 50-cut mixed-codec sequence plays three consecutive passes with zero black frames, zero stale frames, and no seam stall."
SEQ-AUD-001,P1,Sequence / Audio,Confirmed code defect,"Preview gain converts dB to linear gain and clamps it to 0–1, while the editor/export path permits positive gain up to +12 dB.","Preview and export do not match. A +12 dB clip previews at unity but exports at roughly 3.98× linear gain, creating surprise loudness or clipping.",client/src/components/SequenceEditorWorkspace.tsx — dB gain clamp; server/ffmpeg.js — export volume application,"Use Web Audio GainNode or another path that supports gain above unity, or remove positive gain from the UI/export contract.","For -24, -12, 0, +6, and +12 dB, preview and exported integrated/peak levels agree within 0.5 dB."
IMP-001,P1,Sequence / Folder Drop,Confirmed code defect,"Per-file import failures are swallowed, and completion messaging reports only the imported count without a failed/rejected count, reason list, or retry.",Users can believe a folder was handled successfully while assets are missing. This is especially dangerous in large production drops.,client/src/components/SequenceEditorWorkspace.tsx — importDroppedMedia per-file empty catch and summary notice,"Return a structured result for every file: imported, duplicate, unsupported, oversized, failed. Present a persistent summary and retryable failure list.","A mixed 20-file drop reports scanned/imported/skipped/failed totals that add up exactly to 20, with reason and retry for each failure."
IMP-002,P1,Sequence / Folder Drop,Confirmed cross-layer contract defect,"The client accepts image extensions but never categorizes/imports them, and accepts AVI while the server rejects AVI.",Images disappear silently and AVI produces a hidden failure. The drop-zone promise is not truthful.,client/src/components/SequenceEditorWorkspace.tsx — extension allowlist/classification; server/sequence-editor.js — server extension validation,Create one shared media-type contract. Import images into a defined bin/workflow or reject them visibly. Align AVI support on both layers.,Every advertised extension has an end-to-end test and a visible deterministic result; no accepted file vanishes silently.
IMP-003,P1,Sequence / Folder Drop,Confirmed server architecture risk,"Large uploads use in-memory multipart buffering and synchronous disk writes, with very large configured limits.","Large AI-video imports can spike process memory, block the event loop, freeze the UI/API, or terminate the server.",server/index.js — multer memory storage/limits and import routes; server/sequence-editor.js — synchronous writes,"Stream multipart data directly to a staging file, validate while streaming, atomically rename, expose progress, and make limits explicit in the UI.",Importing files near the configured limit does not cause a material event-loop stall or memory spike proportional to full file size.
TAKE-001,P1,Sequence / Takes,Confirmed regression against parent commit,"Latest/segment filtering was removed from the visible controls, its remaining branch is a no-op, and the default filter changed from Active to All.",The take bin becomes noisier and the fastest segment-review path disappears in the very commit advertised as improving takes.,"client/src/components/SequenceEditorWorkspace.tsx at parent 680f18c versus 17234f7 — takeFilter state, visibleMedia filter, rendered filter buttons","Restore Active, Latest/segment, and All; default to Active; add regression tests for item membership and default state.","Latest/segment shows only the newest eligible take for the selected segment, Active remains default, and All is an explicit opt-in."
COMFY-001,P1,Comfy Picker,Confirmed state-truth defect,"The picker can display a selected workflow before that graph has been loaded into the iframe, and success is announced without a bridge acknowledgement that the graph actually loaded.",The label and canvas can disagree. A user can edit or queue the wrong graph while believing the selected workflow is active.,"client/src/components/ComfyUIWorkspace.tsx — initial picker state, loadWorkflow/injectGraph, URL fallback and success notice","Separate selected, loading, and loadedWorkflow IDs. Auto-load deliberately or show 'not loaded'. Require an explicit iframe bridge ACK containing workflow ID/hash before success.",The toolbar never claims workflow X is loaded unless the iframe returns an ACK for X; initial state is unambiguous.
COMFY-002,P1,Comfy Picker,Confirmed missing concurrency/dirty-state control,"Rapid workflow changes are not cancellation- or sequence-token-protected, and loading another workflow does not confirm unsaved graph edits.","An older request can overwrite a newer selection, and local graph work can be destroyed without warning.",client/src/components/ComfyUIWorkspace.tsx — loadWorkflow request lifecycle and option change handling,"Abort or ignore stale loads, serialize bridge application, track canvas dirty state, and require discard/save confirmation.","In a 20-change rapid-selection test, only the final workflow loads. Modified graphs cannot be replaced without an explicit user decision."
COMFY-003,P1,Comfy Picker / Packaging,Confirmed reproducibility defect,"The server scans BlokeyUI/ComfyUI/user/default/workflows, but BlokeyUI explicitly ignores **/user/default/workflows/ and those local workflow files were not committed.",17234f7 alone cannot reproduce the developer's picker inventory. Clean machines can show a partial/empty library or resolve different graphs.,server/aaa-workflow.js — WORKFLOW_ROOT; root .gitmodules; BlokeyUI .gitignore; pinned BlokeyUI tree,"Package supported workflow JSON in a tracked product directory with a manifest/version/hash, or provide a deterministic installer/import step and a first-run missing-library state.","A clean recursive clone produces the same supported picker inventory and graph hashes as the release machine, or clearly blocks with actionable setup."
QA-001,P1,Release Engineering,Confirmed process gap,"No behavioral browser tests cover play, cuts, takes, folder drop, or the Comfy picker; the commit has no CI status/workflow run, and main/master have no required checks.",The primary advertised workflows can regress while both release branches still accept the commit.,tests/sequence-editor-ui.test.mjs; tests/e2e/uat-harness.mjs; tests/e2e/uat-p0.browser.mjs; package.json; branch/status metadata,"Add real Playwright browser tests, API contract tests, accessibility checks, and required branch protection on one canonical release branch.",The P1 acceptance cases run in CI and must pass before merge; main and master cannot advance without the required checks.
SEQ-PLAY-003,P2,Sequence / Playback,Confirmed missing state,"No visible buffering, waiting, stalled, seeking, or decode-error state exists in the program monitor.","Users cannot distinguish a paused transport, a broken source, and a temporary media stall.",SequenceEditorWorkspace program monitor event/state handling,Add a clear state overlay and retry/relink action.,Each media state has distinct text/icon treatment and screen-reader announcement.
SEQ-PLAY-004,P2,Sequence / Playback,Confirmed error-handling defect,HTMLMediaElement.play() rejections and auxiliary-audio playback errors are swallowed or reduced to silently stopping playback.,Autoplay/device/codec errors appear as random transport failure.,SequenceEditorWorkspace play().catch handlers,Surface actionable errors with source/track context.,A forced play rejection produces a persistent error and recovery path.
SEQ-PLAY-005,P2,Sequence / Playback,High-confidence synchronization risk,Program video and auxiliary audio use separate HTMLMediaElement clocks with relatively loose correction thresholds.,Dialogue and effects can audibly drift before correction; corrections can be discontinuous.,SequenceEditorWorkspace media synchronization thresholds,Use one master audio clock and schedule sources against it.,A 10-minute mixed timeline remains within 20 ms A/V drift.
SEQ-PLAY-006,P2,Sequence / Playback,High-confidence runtime risk,Audio fades are updated from requestAnimationFrame and will be throttled in background/occluded tabs.,"Fades can become stepped, delayed, or jump to the wrong level.",SequenceEditorWorkspace rAF fade calculations,Schedule gain automation on an audio clock.,Fade envelopes remain correct after tab backgrounding and restoration.
SEQ-PLAY-007,P2,Sequence / Audio,Confirmed missing control,"There is no master meter, clip meter, clipping indication, or preview master gain.",Users cannot detect overloads or judge loudness before export.,Sequence editor program/audio UI,Add peak/RMS or LUFS-oriented metering and a clipping indicator.,Positive-gain clipping is visibly identified during preview.
SEQ-PLAY-008,P2,Sequence / Playback,Architecture limitation,"HTMLMediaElement seeking is not frame-accurate for long-GOP sources, but the UI presents frame/timeline precision.",Trim and cut review can show a nearby keyframe rather than the intended frame.,Sequence editor direct source seeking architecture,"Use proxy/intraframe media or frame-serving for editorial review, and label precision limits.",A frame-index fixture lands on the expected frame at each tested cut.
SEQ-PLAY-009,P2,Sequence / Playback,Confirmed UI-state ambiguity,Track play controls visually mirror global program playback rather than clearly representing lane-specific audition state.,Users cannot tell what will play or which control owns transport.,SequenceEditorWorkspace audio track control rendering,Separate program transport from solo/audition controls and label both.,"Control state remains unambiguous in mute, solo, locked, and program-play combinations."
SEQ-PLAY-010,P2,Sequence / Playback,Confirmed missing seam handling,No explicit cut-preroll or seam-readiness logic is present.,The viewer discovers decode latency at the cut rather than before it.,SequenceEditorWorkspace current/next clip handling,Prepare the next source before the seam and expose a degraded-preview mode when impossible.,Cut readiness is established before the seam for supported media.
SEQ-BIN-001,P2,Sequence / Media Bin,Confirmed state-consistency defect,Changing a filter can leave the source monitor showing an item no longer visible in the bin.,Selection and visible collection disagree.,selectedMedia derives from all media while visibleMedia is filtered,"Clear, preserve with an explicit hidden-selection banner, or reveal the selected item.",A hidden selection is never presented as though it belongs to the current filtered set.
SEQ-BIN-002,P2,Sequence / Media Bin,Scalability risk,The media/take list renders without virtualization.,Large takes libraries and repeated folder imports can make scrolling and interaction sluggish.,SequenceEditorWorkspace visibleMedia map rendering,Virtualize rows and stabilize item keys/heights.,"A 10,000-item fixture scrolls and filters responsively."
SEQ-PROBE-001,P2,Sequence / Media Probe,Confirmed concurrency defect,Retry-all starts multiple probes while sharing one global probing boolean; the first completion can clear busy state while others remain active.,The UI can enable conflicting actions and falsely appear finished.,SequenceEditorWorkspace retry-all/probeMedia state,Track a set/count of active probes and aggregate result state.,Busy state remains true until the final concurrent probe settles.
SEQ-PROBE-002,P2,Sequence / Media Probe,Confirmed retry-state weakness,Failed auto-probes are retained in a ref and are not automatically retried during the same mount.,Transient probe failures remain stale until manual intervention or remount.,SequenceEditorWorkspace auto-probe ref logic,Use bounded retry/backoff and expose failure state.,A transient first failure retries deterministically and settles visibly.
TAKE-002,P2,Sequence / Takes,Confirmed missing primary action,"There is no direct, explicit 'Replace selected timeline clip with selected take' action.",A common editorial task requires indirect context and is easy to perform against the wrong target.,Sequence editor take and timeline action surface,Add a primary replace action with target segment/timeline confirmation.,One keyboard-accessible action swaps the selected clip and preserves trim policy predictably.
TAKE-003,P2,Sequence / Takes,Confirmed missing comparison workflow,"No previous/next take cycling, A/B compare, side-by-side compare, or keyboard audition exists.",Reviewing many generations is slow and cognitively expensive.,Sequence editor take controls,Add segment-scoped cycling and compare modes.,A reviewer can audition all takes for one segment without moving pointer focus.
TAKE-004,P2,Sequence / Takes,Confirmed filter leakage,"When a segment is scoped, media with no segment ID can remain visible.",Unregistered folder imports pollute a segment-focused take review.,SequenceEditorWorkspace visibleMedia segment predicate,Make unassigned media an explicit separate group/filter.,Segment scope contains only that segment unless 'Include unassigned' is enabled.
TAKE-005,P3,Sequence / Takes,Visual semantics weakness,Active/Latest status is conveyed with very small badges and weak hierarchy.,Status is hard to scan and easy to misread.,Sequence editor media card badge rendering,Use larger labeled state chips and selected-target linkage.,"Status is legible at 100%, 125%, and 150% scaling."
TAKE-006,P3,Sequence / Takes,Preference persistence gap,Take filter choice is not persisted per user/project.,Users repeatedly restore their preferred review mode.,takeFilter local component state,Persist a project/user preference with a safe default.,The chosen filter restores after navigation and relaunch.
IMP-004,P2,Sequence / Folder Drop,Confirmed feedback gap,"Folder traversal can be lengthy, but upload/busy state starts only after traversal completes.",A deep folder appears to do nothing after drop.,drop traversal flow before importDroppedMedia,Show scanning state immediately with discovered/eligible counts.,Feedback appears within 100 ms of drop and updates throughout traversal.
IMP-005,P2,Sequence / Folder Drop,Confirmed missing control,"Uploads are sequential with no per-file progress, total progress, current filename, pause, or cancel.",Large imports feel frozen and cannot be safely interrupted.,SequenceEditorWorkspace import loop,"Add bounded concurrency, progress, and cancellation.",A 100-file import exposes deterministic progress and can cancel without corrupting metadata.
IMP-006,P2,Sequence / Folder Drop,Confirmed payload-handling defect,"If any DataTransfer item yields a webkit entry, fallback files are not added; mixed payloads can lose non-entry items.",Some dragged files disappear from mixed operating-system/browser payloads.,SequenceEditorWorkspace drop item/fallback branching,Merge and de-duplicate both entry traversal and dataTransfer.files.,Mixed file/folder payload fixtures import every eligible file exactly once.
