case_id,area,priority,scenario,preconditions,steps,expected,evidence_to_capture
UAT-PLAY-001,Playback,P1,Two-clip seamless cut,Two 4K clips with different codecs/resolutions,Place clips consecutively; play through cut three times,"No black/stale frame, no stall, correct frame at seam","60 fps screen recording, console, media events"
UAT-PLAY-002,Playback,P1,Buffering freezes transport,Throttle source/disk or use deliberately slow source,Play; induce waiting for 2 seconds,Playhead/audio pause with visible buffering; resume in sync,Timestamped media-event log and screen recording
UAT-PLAY-003,Playback,P1,Background-tab clock integrity,Sequence with video plus auxiliary audio,Play; background tab for 10 seconds; return,"No wall-clock jump, broken fade, or A/V desync",Screen recording and currentTime trace
UAT-PLAY-004,Playback,P1,Positive-gain parity,+12 dB clip with known tone,Preview; export; measure both,Preview/export agree within 0.5 dB,Waveform/loudness report
UAT-PLAY-005,Playback,P1,Long-sequence sync,10-minute sequence with clap markers each minute,Play end to end,A/V drift stays within 20 ms,Recorded output and marker analysis
UAT-PLAY-006,Playback,P2,Play rejection,Force autoplay/device rejection,Press Play,Persistent actionable error; no silent stop,Screenshot and console
UAT-PLAY-007,Playback,P2,Missing program media,Remove/move one source,Play into missing clip,Clear missing/relink state; transport behavior predictable,Screenshot and network log
UAT-PLAY-008,Playback,P2,Corrupt media decode,Use corrupt MP4,Play source/program,Decode error names the asset and recovery,Screenshot and media error code
UAT-PLAY-009,Playback,P2,Trim-boundary accuracy,Long-GOP source with frame numbers,Set in/out on known frames; play seam,Expected frames appear; limitations disclosed,Frame captures
UAT-PLAY-010,Playback,P2,Audio tail after picture,Picture ends before audio,Play to end,Black-tail behavior is labeled and transport ends correctly,Screen recording
UAT-PLAY-011,Playback,P2,Mute/lock combinations,Multiple video/audio tracks,Toggle mute/lock while stopped and playing,State and sound match labels; no forbidden edits,Screen recording
UAT-PLAY-012,Playback,P2,Rapid scrub,Mixed clips on local SSD,Drag playhead rapidly across cuts,"No stale frame, crash, or runaway audio",Performance trace
UAT-PLAY-013,Playback,P2,Repeated play/pause,Loaded sequence,Press Space 30 times at varied focus,"No duplicate audio, stuck transport, or outside-context shortcut",Screen recording
UAT-PLAY-014,Playback,P2,Multiple auxiliary tracks,Three overlapping audio clips with fades,Play overlap,All tracks remain synchronized and fades are smooth,Audio capture
UAT-PLAY-015,Playback,P3,End-of-sequence replay,Completed playback,Press Play again,Starts from defined position with clear state,Screen recording
UAT-TAKE-001,Takes,P1,Default filter,"Project with active, latest, and historical takes",Open sequence editor,Active is default; count and label are correct,Screenshot
UAT-TAKE-002,Takes,P1,Latest per selected segment,"Three segments, multiple versions each",Select each timeline segment; choose Latest/segment,Only newest eligible take for selected segment is shown,Screenshots and item IDs
UAT-TAKE-003,Takes,P1,All filter,Same fixture,Choose All,All takes appear exactly once,Item ID export
UAT-TAKE-004,Takes,P1,Replace selected clip with take,Selected timeline clip and alternate take,Invoke Replace,Correct target changes; trim policy disclosed; undo works,Before/after document diff
UAT-TAKE-005,Takes,P2,Previous/next take keyboard cycle,Segment with 20 takes,Use keyboard cycle and audition,Focus remains stable and each take appears once,Screen recording
UAT-TAKE-006,Takes,P2,Hidden selection on filter change,Select historical item then switch to Active,Change filter,Selection clears or is explicitly marked hidden,Screenshot
UAT-TAKE-007,Takes,P2,Unassigned import isolation,Imports with no segment ID,Select one segment and Latest/segment,Unassigned assets do not leak unless opted in,Screenshot
UAT-TAKE-008,Takes,P2,Take status consistency,Active/latest flags in data,Refresh and switch filters,"Badges, counts, and membership agree",Screenshot/data snapshot
UAT-TAKE-009,Takes,P2,Undo/redo take swap,Complete a take replacement,Undo then redo,Timeline and active flags restore exactly,Document revisions
UAT-TAKE-010,Takes,P3,Filter persistence,Choose preferred filter,Navigate away/relaunch,Preference restores safely,Screen recording
UAT-DROP-001,Folder Drop,P1,Mixed valid/invalid folder,"MP4, WAV, AVI, PNG, corrupt file, oversized file",Drop folder,Totals add to scanned count; every reject/failure has reason,Import report
UAT-DROP-002,Folder Drop,P1,All failures,Folder of unsupported/oversized/corrupt files,Drop folder,No success-style ambiguity; failure list and retry shown,Screenshot
UAT-DROP-003,Folder Drop,P1,Large file memory safety,Near-limit 4K media,Import while monitoring process,Streaming behavior; no full-file memory spike or UI freeze,Memory/event-loop trace
UAT-DROP-004,Folder Drop,P1,Client/server type parity,One fixture per advertised extension,Drop each,Every extension has deterministic end-to-end result,Result table
UAT-DROP-005,Folder Drop,P2,Deep folder scan,"10-level tree, 1,000 files",Drop root,"Immediate scan feedback, stable progress, no hang",Screen recording/performance
UAT-DROP-006,Folder Drop,P2,Cancel import,100 large media files,Drop; cancel at 30%,No new work starts; partial results clear; metadata consistent,Disk listing/document diff
