task_id,source_issue_id,workstream,priority,release_gate,task_type,scope_class,applies_to_17234f7,added_in_reconciliation,task_title,problem_rationale,required_implementation,acceptance_criteria,evidence_anchor,evidence_url,owner_role,phase,effort,dependencies,uat_case_ids,status,progress_pct,target_sprint,due_date,origin,notes_decision
COMFY-001,COMFY-001,Comfy Picker,P1,Yes,Comfy Integration,Confirmed state-truth defect,Yes,No,"Separate selected, loading, and loadedWorkflow IDs","The picker can display a selected workflow before that graph has been loaded into the iframe, and success is announced without a bridge acknowledgement that the graph actually loaded. The label and canvas can disagree. A user can edit or queue the wrong graph while believing the selected workflow is active.","Separate selected, loading, and loadedWorkflow IDs. Auto-load deliberately or show 'not loaded'. Require an explicit iframe bridge ACK containing workflow ID/hash before success.",The toolbar never claims workflow X is loaded unless the iframe returns an ACK for X; initial state is unambiguous.,"client/src/components/ComfyUIWorkspace.tsx — initial picker state, loadWorkflow/injectGraph, URL fallback and success notice",https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/ComfyUIWorkspace.tsx,Comfy Integration + Frontend,G1 — State truth & silent loss,L,,"UAT-COMFY-001,UAT-COMFY-002",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: selected/loading/loaded keys; ACK required
COMFY-002,COMFY-002,Comfy Picker,P1,Yes,Comfy Integration,Confirmed missing concurrency/dirty-state control,Yes,No,"Abort or ignore stale loads, serialize bridge application, track canvas dirty state, and require discard/save confirmation","Rapid workflow changes are not cancellation- or sequence-token-protected, and loading another workflow does not confirm unsaved graph edits. An older request can overwrite a newer selection, and local graph work can be destroyed without warning.","Abort or ignore stale loads, serialize bridge application, track canvas dirty state, and require discard/save confirmation.","In a 20-change rapid-selection test, only the final workflow loads. Modified graphs cannot be replaced without an explicit user decision.",client/src/components/ComfyUIWorkspace.tsx — loadWorkflow request lifecycle and option change handling,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/ComfyUIWorkspace.tsx,Comfy Integration + Frontend,G1 — State truth & silent loss,L,,"UAT-COMFY-003,UAT-COMFY-004",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Request tokens + confirm before replacing loaded graph
COMFY-003,COMFY-003,Comfy Picker / Packaging,P1,Yes,Comfy Integration,Confirmed reproducibility defect,Yes,No,"Package supported workflow JSON in a tracked product directory with a manifest/version/hash, or provide a deterministic installer/import step and a first-run missing-library state","The server scans BlokeyUI/ComfyUI/user/default/workflows, but BlokeyUI explicitly ignores **/user/default/workflows/ and those local workflow files were not committed. 17234f7 alone cannot reproduce the developer's picker inventory. Clean machines can show a partial/empty library or resolve different graphs.","Package supported workflow JSON in a tracked product directory with a manifest/version/hash, or provide a deterministic installer/import step and a first-run missing-library state.","A clean recursive clone produces the same supported picker inventory and graph hashes as the release machine, or clearly blocks with actionable setup.",server/aaa-workflow.js — WORKFLOW_ROOT; root .gitmodules; BlokeyUI .gitignore; pinned BlokeyUI tree,"https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/aaa-workflow.js
https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/.gitmodules
https://github.com/tj1784/BlokeyUI/blob/ec80ff135127e324c804d2c60036e8672b3272b4/.gitignore",Comfy Integration + Frontend,G1 — State truth & silent loss,L,,"UAT-COMFY-005,UAT-COMFY-006,UAT-REG-005",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: workflows/manifest.json packaged inventory + missing-library state
IMP-001,IMP-001,Sequence / Folder Drop,P1,Yes,Import / Reliability,Confirmed code defect,Yes,No,"Return a structured result for every file: imported, duplicate, unsupported, oversized, failed","Per-file import failures are swallowed, and completion messaging reports only the imported count without a failed/rejected count, reason list, or retry. Users can believe a folder was handled successfully while assets are missing. This is especially dangerous in large production drops.","Return a structured result for every file: imported, duplicate, unsupported, oversized, failed. Present a persistent summary and retryable failure list.","A mixed 20-file drop reports scanned/imported/skipped/failed totals that add up exactly to 20, with reason and retry for each failure.",client/src/components/SequenceEditorWorkspace.tsx — importDroppedMedia per-file empty catch and summary notice,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Full Stack,G1 — State truth & silent loss,L,,"UAT-DROP-001,UAT-DROP-002,UAT-DROP-014",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Structured per-file results + report + retry
IMP-002,IMP-002,Sequence / Folder Drop,P1,Yes,Import / Reliability,Confirmed cross-layer contract defect,Yes,No,Create one shared media-type contract,"The client accepts image extensions but never categorizes/imports them, and accepts AVI while the server rejects AVI. Images disappear silently and AVI produces a hidden failure. The drop-zone promise is not truthful.",Create one shared media-type contract. Import images into a defined bin/workflow or reject them visibly. Align AVI support on both layers.,Every advertised extension has an end-to-end test and a visible deterministic result; no accepted file vanishes silently.,client/src/components/SequenceEditorWorkspace.tsx — extension allowlist/classification; server/sequence-editor.js — server extension validation,"https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx
https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/server/sequence-editor.js",Full Stack,G1 — State truth & silent loss,L,,UAT-DROP-004,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: shared/media-types.js; images rejected; AVI on both layers
IMP-018,IMP-018,Sequence / Folder Drop,P1,Yes,Defect,Confirmed code defect,Yes,Yes,"Wrap traversal and import in one try/catch/finally operation, preserve the busy state from scan start, and return a structured traversal failure summary",Folder traversal is launched with a promise chain that has no top-level catch or user-facing failure path. A permission/traversal error can become an unhandled rejection and leave the drop operation with no result or recovery.,"Wrap traversal and import in one try/catch/finally operation, preserve the busy state from scan start, and return a structured traversal failure summary.",A forced directory-reader rejection produces a visible failed import job with exact reason and Retry/Choose folder actions; no unhandled rejection appears.,client/src/components/SequenceEditorWorkspace.tsx — onFolderDrop/filesFromDataTransfer promise chain,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Frontend,G1 — State truth & silent loss,M,IMP-001,UAT-DROP-022,Done,100,,,Reconciliation source review,Implemented 2026-08-22: Scan/import wrapped in try/catch/finally
TAKE-001,TAKE-001,Sequence / Takes,P1,Yes,Takes / UX,Confirmed regression against parent commit,Yes,No,"Restore Active, Latest/segment, and All; default to Active; add regression tests for item membership and default state","Latest/segment filtering was removed from the visible controls, its remaining branch is a no-op, and the default filter changed from Active to All. The take bin becomes noisier and the fastest segment-review path disappears in the very commit advertised as improving takes.","Restore Active, Latest/segment, and All; default to Active; add regression tests for item membership and default state.","Latest/segment shows only the newest eligible take for the selected segment, Active remains default, and All is an explicit opt-in.","client/src/components/SequenceEditorWorkspace.tsx at parent 680f18c versus 17234f7 — takeFilter state, visibleMedia filter, rendered filter buttons",https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/blob/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9/client/src/components/SequenceEditorWorkspace.tsx,Product + Frontend,G1 — State truth & silent loss,L,,"UAT-TAKE-001,UAT-TAKE-002,UAT-TAKE-003,UAT-REG-001",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Restored Active/Latest/All; default Active; unit tests
COMFY-004,COMFY-004,Comfy Picker,P2,Conditional,Comfy Integration,Confirmed HTTP handling defect,Yes,No,Validate status and retain per-source error diagnostics,Workflow-list responses are parsed as JSON without checking response.ok. HTTP errors collapse into confusing loading/empty behavior.,Validate status and retain per-source error diagnostics.,404/500/invalid JSON each produce source-specific actionable states.,ComfyUIWorkspace Promise.all list requests,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,UAT-COMFY-007,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: response.ok + per-source errors
COMFY-005,COMFY-005,Comfy Picker,P2,Conditional,Comfy Integration,Confirmed state-model weakness,Yes,No,Use an explicit state machine and retry control,"Loading, empty, partial, and error states are not cleanly distinguished; 'Loading workflows…' can persist indefinitely. Users cannot tell whether to wait, repair setup, or retry.",Use an explicit state machine and retry control.,"Every request terminates in loaded, partial, empty, or error with a next action.",Comfy workflow-list state/render logic,https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,"UAT-COMFY-006,UAT-COMFY-007,UAT-COMFY-014,UAT-COMFY-015",Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: loaded/partial/empty/error list states
COMFY-006,COMFY-006,Comfy Picker,P2,Conditional,Comfy Integration,Confirmed UI contract defect,Yes,No,Disable or clearly mark unavailable entries with remediation,Catalog readiness is captured but options are not disabled when unready. Users can select workflows known not to be runnable.,Disable or clearly mark unavailable entries with remediation.,Unavailable workflows cannot produce false load success.,Comfy option rendering disabled={false},https://github.com/tj1784/Premiere316_AI_Director_Prototype_v2.0.0/commit/17234f7bcc9687d12afa23fbb88c6eff5be7e2a9,Comfy Integration + Frontend,G1 — State truth & silent loss,M,COMFY-001,UAT-COMFY-019,Done,100,,,Existing 74-item source audit,Implemented 2026-08-22: Unready catalog options disabled
